1442	2165	1325	2147	2165
1444	1644	1325	1962	1457
1445	1643	1354	1445	1521
1447	1644	2147	1649	2147
1448	1462	1376	1353	1643
1451	1333	1482	2177	1459
1457	1457	1672	1450	1462
1462	1809	2147	1342	2026
1465	1518	1896	1595	1678
1468	1885	2153	1468	1163
1469	1360	1646	1672	2055
1470	1891	2147	1159	2190
1472	2158	1653	1446	1640
1475	1571	1524	2151	1450
1485	1319	1525	1405	1376
1494	1398	1332	1962	1451
1495	1766	1633	1142	1390
1497	1170	1163	1437	1361
1499	1643	1456	1962	1962
1501	1342	1376	1434	1402
1502	1649	1662	1339	2147
1503	1632	1457	1397	1430
1504	1335	1376	1456	2149
1505	1076	1341	1142	1447
1506	1640	2005	1640	1571
1508	1342	1442	1531	1405
1510	2149	1891	1482	1662
1514	1073	2165	1380	1405
1515	2165	1432	1108	2168
1521	1885	1516	1431	1499
1524	1636	1472	1499	2191
1525	1093	1456	2035	1034
1527	2159	1437	2102	1531
1528	1521	2177	2170	1518
1531	1360	1374	2174	1643
1538	1335	1506	1339	1050
1546	2174	2184	1640	1962
1549	1646	1646	1657	1549
1571	1345	2168	1464	1636
1578	1439	1163	1578	1323
1595	1809	1538	1362	1506
1598	1405	1641	1073	1673
1602	1102	1497	1342	1602
1632	2192	1353	1468	1499
1633	1482	1482	2147	1506
1634	1462	2149	1641	1484
1636	2167	2144	1766	2151
1640	1348	2151	1640	1663
1641	1036	1506	1578	1390
1643	2174	1668	1668	1643
1644	1809	1649	1750	1644
1645	1646	1345	1485	1378
1646	1516	1142	1528	1516
1649	1159	1351	1212	2151
1654	2155	1570	1766	1633
1655	1655	1655	1655	1655
1657	1657	1482	1380	1482
1659	1644	1344	2147	1641
1662	1641	1073	1679	1163
1663	1646	2144	1766	1646
1666	1334	1501	1506	1397
1669	1140	1672	1669	1641
1672	1672	1328	1159	1672
1673	1673	1673	1668	1668
1678	1033	1323	2035	2151
1679	1668	1679	1668	1668
1690	1397	1374	1655	1033
1706	2139	1140	2177	1351
1750	1750	1750	1750	1750
1761	1340	1761	1499	1678
1766	2193	1649	1679	2158
1809	1633	1643	1657	1761
1885	2102	1333	1102	1528
1891	1766	1885	1885	2151
1896	1603	1392	1527	1323
1962	1655	2138	1546	1518
2005	2159	1766	1322	1679
2006	2006	2006	2006	1668
2025	1344	2158	2147	2158
2026	1643	1640	2144	2138
2055	1502	1459	1484	1034
2135	1510	1598	1328	1391
2139	1668	1668	2139	1354
2141	1654	2169	2192	1644
2144	1679	1390	1380	1381
2149	1447	2165	1669	1494
2151	1644	1330	1464	1430
2153	2153	2153	2153	2153
2155	2035	1598	1809	1344
2156	2139	1472	2177	1641
2158	1672	1633	1585	1173
2159	1482	1649	1482	2147
2163	1352	1381	2163	2192
2165	1142	2147	2153	2147
2167	2102	2165	1679	1337
2168	2159	1641	1633	1668
2169	1891	1354	2147	1398
2170	1398	1142	1159	1447
2174	1518	1766	1546	1527
2184	1645	1766	1315	1464
2191	1482	1518	2035	2151
1328	2190	2169	1657	1663
1073	1673	2026	1640	1434
1482	1673	2163	1962	1766
1450	1435	1669	1335	1163
1390	2165	2102	1516	1344
1214	2005	1432	1444	1212
1464	2158	1891	1502	1678
1333	1497	2159	2159	1140
1163	1214	1641	1073	1531
2102	2158	1163	1482	1809
1511	2147	1159	1891	1142
1327	1497	1673	1666	1073
1456	1159	1159	1159	1159
1342	1353	1891	1515	2035
1344	1163	1761	1390	1342
1603	1643	1896	1662	2158
1351	1144	1666	1468	1640
1446	1442	1641	1644	1673
1518	1678	1341	2190	2035
1034	1649	1323	1482	1136
1375	1646	1435	1766	1354
1458	1644	1405	1644	1672
1488	1640	1527	1885	2025
1380	2138	1809	1036	1482
1358	2035	1766	1212	2159
1484	1495	1397	1546	1640
1570	1885	2158	1330	1766
1361	1170	1434	1036	1643
1600	2147	1468	1073	1600
1459	1359	1469	1497	2170
1325	1325	1482	2147	1212
1378	1497	1497	1891	1342
1319	1501	1891	2191	1678
1388	1142	2167	1034	2135
1322	1390	2035	1633	2144
1449	1102	1766	1274	1570
1585	1663	1530	1459	1332
1033	1531	1515	1322	1451
1405	2151	1766	2147	1354
1516	1353	2174	1646	1668
1050	2151	2151	2151	1354
1530	1359	1672	1159	1672
1668	1516	2165	1585	1344
1653	1766	1653	2159	1351
2192	1482	2174	2026	1354
2177	1678	1274	1645	1530
2193	1434	1885	1662	1514
2190	1663	1324	1344	1644
2138	1766	2184	2035	2158
2035	1142	2167	1678	1397
2147	2153	1659	2159	1036
1044	2190	2169	1657	1663
1039	2190	2169	1657	1663
1037	2190	2169	1657	1663
1275	2190	2169	1657	1663
2122	2190	2169	1657	1663
1280	2190	2169	1657	1663
1277	2190	2169	1657	1663
1590	2190	2169	1657	1663
1985	2190	2169	1657	1663
2045	2190	2169	1657	1663
1976	2190	2169	1657	1663
2047	2190	2169	1657	1663
2132	2190	2169	1657	1663
2125	2190	2169	1657	1663
2124	2190	2169	1657	1663
2172	2190	2169	1657	1663
1225	2190	2169	1657	1663
1224	2190	2169	1657	1663
1583	2190	2169	1657	1663
2181	2190	2169	1657	1663
1231	2190	2169	1657	1663
1273	2190	2169	1657	1663
2189	2190	2169	1657	1663
2208	2190	2169	1657	1663
1003	2190	2169	1657	1663
